PKUID,ID,ROW,COL,SS,bay_heads_GHB_index
8838,0,12,38,0.178942910162732,1
8839,0,12,39,0.180006361799315,1
8840,0,12,40,0.179461435647681,1
8841,0,12,41,0.182061500381678,1
8842,0,12,42,0.188580505782738,1
8843,0,12,43,0.195941247744486,1
8844,0,12,44,0.205004568910226,1
8845,0,12,45,0.212194862542674,1
8846,0,12,46,0.215331784682348,1
8847,0,12,47,0.215254372917116,1
8848,0,12,48,0.212294314755127,1
8849,0,12,49,0.208560179919004,1
8850,0,12,50,0.204123610630631,1
8851,0,12,51,0.20528074586764,1
8852,0,12,52,0.212559984298423,1
8853,0,12,53,0.223425717325881,1
8854,0,12,54,0.236355429515243,1
8855,0,12,55,0.248069566674531,1
8856,0,12,56,0.258166224230081,1
8857,0,12,57,0.269964817445725,1
8858,0,12,58,0.279624197632074,1
8859,0,12,59,0.287725052796304,1
8860,0,12,60,0.297466970980167,1
8861,0,12,61,0.306103780865669,1
8862,0,12,62,0.314651267137378,1
8863,0,12,63,0.319486533757299,1
8864,0,12,64,0.320829882286489,1
8865,0,12,65,0.320048633497208,1
8866,0,12,66,0.319485635496676,1
8867,0,12,67,0.319434631150216,1
8868,0,12,68,0.320526021532714,1
8869,0,12,69,0.322465052362531,1
8870,0,12,70,0.324790469836444,1
8871,0,12,71,0.327722976449877,1
8872,0,12,72,0.328873452730477,1
8873,0,12,73,0.328470137901604,1
8874,0,12,74,0.327410018071532,1
8875,0,12,75,0.325782925821841,1
8876,0,12,76,0.324908377137035,1
8877,0,12,77,0.325289009138942,1
8878,0,12,78,0.326714636292309,1
8879,0,12,79,0.32773566711694,1
8880,0,12,80,0.32805824233219,1
8881,0,12,81,0.32801222987473,1
8882,0,12,82,0.327600588556379,1
8883,0,12,83,0.32690815301612,1
8884,0,12,84,0.32621584367007,1
8885,0,12,85,0.325761524494737,1
8886,0,12,86,0.325484451372176,1
8887,0,12,87,0.325603120028973,1
8888,0,12,88,0.326069104019552,1
8889,0,12,89,0.327021057717502,1
8890,0,12,90,0.328395808115602,1
8891,0,12,91,0.329887051135302,1
8892,0,12,92,0.331852992996573,1
8893,0,12,93,0.333692953456193,1
8894,0,12,94,0.335835751611739,1
8895,0,12,95,0.337912807241082,1
8896,0,12,96,0.339508757460862,1
8897,0,12,97,0.340900036972016,1
8898,0,12,98,0.341690386179835,1
8899,0,12,99,0.342029365245253,1
8900,0,12,100,0.341860455460846,1
8901,0,11,1,0.973886592313647,1
8902,0,11,2,0.969853986054659,1
8903,0,11,3,0.965869817882776,1
8904,0,11,4,0.961137204430997,1
8905,0,11,5,0.955956297926605,1
8906,0,11,6,0.950888411141932,1
8907,0,11,7,0.944212558679283,1
8908,0,11,8,0.936609078198671,1
8909,0,11,9,0.928694427013397,1
8910,0,11,10,0.917731812223792,1
8911,0,11,11,0.905715101398528,1
8912,0,11,12,0.887939730659127,1
8913,0,11,13,0.865259386599064,1
8914,0,11,14,0.842256983742118,1
8915,0,11,15,0.8139567989856,1
8916,0,11,16,0.788998188450933,1
8917,0,11,17,0.761896662414074,1
8918,0,11,18,0.737147848121822,1
8919,0,11,19,0.716348214074969,1
8920,0,11,20,0.691198401153088,1
8921,0,11,21,0.66201519779861,1
8922,0,11,22,0.631469556130469,1
8923,0,11,23,0.589835827238858,1
8924,0,11,24,0.549208899959922,1
8925,0,11,25,0.500320538878441,1
8926,0,11,26,0.450611455366015,1
8927,0,11,27,0.408349240198731,1
8928,0,11,28,0.363505282904953,1
8929,0,11,29,0.323540160898119,1
8930,0,11,30,0.295303153805435,1
8931,0,11,31,0.270956756547093,1
8932,0,11,32,0.254049794515595,1
8933,0,11,33,0.238227175781503,1
8934,0,11,34,0.226695535238832,1
8935,0,11,35,0.219120126217604,1
8936,0,11,36,0.21274876059033,1
8937,0,11,37,0.209722698666155,1
8938,0,11,38,0.210583788808435,1
8939,0,11,39,0.213667780859396,1
8940,0,11,40,0.217889043269679,1
8941,0,11,41,0.221637659007683,1
8942,0,11,42,0.226333489874378,1
8943,0,11,43,0.231544130016118,1
8944,0,11,44,0.23835443588905,1
8945,0,11,45,0.2434654943645,1
8946,0,11,46,0.246061460115016,1
8947,0,11,47,0.247409684117883,1
8948,0,11,48,0.246807343093678,1
8949,0,11,49,0.245259577408433,1
8950,0,11,50,0.244132046587765,1
