PKUID,ID,ROW,COL,SS,seawater_heads_GHB_GHB_INDEX
393,0,97,93,1.93741252459586,1
394,0,97,94,1.51342407427728,1
395,0,97,95,0.960154615808278,1
396,0,97,96,0.424692559907271,1
397,0,97,97,-0.432442906090728,1
398,0,97,98,-1.7436381727457,1
399,0,97,99,-3.32207578793168,1
400,0,97,100,-4.54843763262033,1
401,0,96,1,18.2558951377869,1
402,0,96,2,18.1861526370049,1
403,0,96,3,18.1638262867928,1
404,0,96,4,18.1808770000935,1
405,0,96,5,18.2273161113262,1
406,0,96,6,18.2517703473568,1
407,0,96,7,18.2514393925667,1
408,0,96,8,18.1731215119362,1
409,0,96,9,17.9869082570076,1
410,0,96,10,17.6629388034344,1
411,0,96,11,17.3376922607422,1
412,0,96,12,16.929551422596,1
413,0,96,13,16.4934303760529,1
414,0,96,14,16.1048726141453,1
415,0,96,15,15.6852611601353,1
416,0,96,16,15.3320925086737,1
417,0,96,17,14.9436873346567,1
418,0,96,18,14.5793108195066,1
419,0,96,19,14.278156131506,1
420,0,96,20,13.8830198198557,1
421,0,96,21,13.3839608877897,1
422,0,96,22,12.8404595255852,1
423,0,96,23,12.2257390320301,1
424,0,96,24,11.7111686170101,1
425,0,96,25,11.1586979627609,1
426,0,96,26,10.6827060133219,1
427,0,96,27,10.3947400003672,1
428,0,96,28,10.2545822411776,1
429,0,96,29,10.3604387789965,1
430,0,96,30,10.6709357947111,1
431,0,96,31,11.2045904099941,1
432,0,96,32,11.756294131279,1
433,0,96,33,12.2190920263529,1
434,0,96,34,12.2041536122561,1
435,0,96,35,11.6692695468664,1
436,0,96,36,11.0364999175072,1
437,0,96,37,10.5679273158312,1
438,0,96,38,10.4289886951447,1
439,0,96,39,10.6715192645788,1
440,0,96,40,10.9130303859711,1
441,0,96,41,11.1841610521078,1
442,0,96,42,11.4464957714081,1
443,0,96,43,11.6590968519449,1
444,0,96,44,11.9012911915779,1
445,0,96,45,12.1617867648602,1
446,0,96,46,12.3930360525846,1
447,0,96,47,12.6524595916271,1
448,0,96,48,12.8263931721449,1
449,0,96,49,12.7464412152767,1
450,0,96,50,12.4650011658669,1
451,0,96,51,12.196655407548,1
452,0,96,52,11.8979598283768,1
453,0,96,53,11.6245223730803,1
454,0,96,54,11.3155281245708,1
455,0,96,55,11.012613043189,1
456,0,96,56,10.7515973001719,1
457,0,96,57,10.4912488758564,1
458,0,96,58,10.2068506479263,1
459,0,96,59,9.92572069168091,1
460,0,96,60,9.65534672141075,1
461,0,96,61,9.43524739146233,1
462,0,96,62,9.18291194736958,1
463,0,96,63,8.92422392964363,1
464,0,96,64,8.7046816945076,1
465,0,96,65,8.45238304138184,1
466,0,96,66,8.18767328560352,1
467,0,96,67,7.96773171424866,1
468,0,96,68,7.74771647155285,1
469,0,96,69,7.57899015396833,1
