PKUID,ID,ROW,COL,BORDER,ACTIVE,TOP,BOTTOM,THICKNESS,STRT,KX,KY,KZ,SS,SY,NT,NE,WETDRY
141,0,99,41,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
142,0,99,42,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
143,0,99,43,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
144,0,99,44,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
145,0,99,45,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
146,0,99,46,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
147,0,99,47,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
148,0,99,48,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
149,0,99,49,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
150,0,99,50,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
151,0,99,51,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
152,0,99,52,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
153,0,99,53,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
154,0,99,54,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
155,0,99,55,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
156,0,99,56,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
157,0,99,57,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
158,0,99,58,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
159,0,99,59,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
160,0,99,60,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
161,0,99,61,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
162,0,99,62,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
163,0,99,63,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
164,0,99,64,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
165,0,99,65,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
166,0,99,66,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
167,0,99,67,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
168,0,99,68,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
169,0,99,69,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
170,0,99,70,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
171,0,99,71,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
172,0,99,72,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
173,0,99,73,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
174,0,99,74,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
175,0,99,75,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
176,0,99,76,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
177,0,99,77,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
178,0,99,78,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
179,0,99,79,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
180,0,99,80,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
181,0,99,81,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
182,0,99,82,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
183,0,99,83,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
184,0,99,84,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
185,0,99,85,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
186,0,99,86,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
187,0,99,87,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
188,0,99,88,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
189,0,99,89,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
190,0,99,90,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
191,0,99,91,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
192,0,99,92,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
193,0,99,93,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
194,0,99,94,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
195,0,99,95,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
196,0,99,96,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
197,0,99,97,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
198,0,99,98,0,1,0.0252,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
199,0,99,99,0,1,0.7256,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
200,0,99,100,1,1,2.3646,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
201,0,98,1,1,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
202,0,98,2,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
203,0,98,3,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
204,0,98,4,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
205,0,98,5,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
206,0,98,6,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
207,0,98,7,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
208,0,98,8,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
209,0,98,9,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
210,0,98,10,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
211,0,98,11,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
212,0,98,12,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
213,0,98,13,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
214,0,98,14,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
215,0,98,15,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
216,0,98,16,0,1,0,-150,160,1,0.001,0.001,0.0001,0.001,0.1,1,1,-0.01
